﻿Spotify URI,Track Name,Artist Name,Album Name,Game
spotify:track:7FNlYhIn8iu2S0kuZSiqGf,The Other Way Round - Feat. China Moses,"Gabin, China Moses",Mr Freedom,FIFA
spotify:track:0c81ECReZed0QhnsqukTBO,9 to 5,Lady Sovereign,Public Warning,FIFA
spotify:track:4E0GvuF0fAPAbAJ4EEEfnH,Destroy Everything You Touch,Ladytron,Witching Hour,FIFA
spotify:track:6HwscJBDIl5p1EvtfnlrgR,Down in the Past - Moonbootica Remix,Mando Diao,Down In The Past [Moonbootica Remix] (Moonbootica Remix),FIFA
spotify:track:60mXPLZV7wCmKcibpefpOF,Big City Life,Mattafix,Ultimate R&B 2007,FIFA
spotify:track:6zim7Y4zlHvHp2ytnv4wle,Dance in My Blood,"Men, Women & Children","Men, Women & Children (U.S. Version)",FIFA
spotify:track:3S5vxEuxzLpyWDTar6KBi2,Mas Que Nada,"Sérgio Mendes, The Black Eyed Peas",Essential R&B 2010 (International Version),FIFA
spotify:track:3LNcZVEYndm5GXdXx7pOp6,Chelsea,Stefy,John Tucker Must Die (Music From The Motion Picture),FIFA
spotify:track:0zp0ggCjN4k6QizSfpCHBL,DesiRock,Swami,53431,FIFA
spotify:track:0jj39Oo1mnjnTBpOMQ3d5V,The Power Is On,The Go! Team,"Thunder, Lightning, Strike",FIFA
spotify:track:034HHKSTipcnckufmeWCGb,Whatever You Want From Life,Voicst,Whatever You Want From Life,FIFA
spotify:track:2yNL1ARf4IMH6Aqs9rAQ8O,Can't Get Enough - Mekon Remix,Infadels,Can't Get Enough,FIFA
spotify:track:46ASKoYOsj2QWKfoUOsCPR,Chloroform,Belasco,Proper Rock Volume 1,FIFA
spotify:track:0OwP88m46SzRRKeXgciYrb,Civil Sin,Boy Kill Boy,Civilian,FIFA
spotify:track:38RKoYsKFacZQ2zLQpF93N,"Dear Scene, I Wish I Were Deaf",Nightmare Of You,Nightmare of You,FIFA
spotify:track:1PEV0CBSloM13Sz9VS4Mq4,Deepest Red,Ralph Myerz And The Jack Herren Band,Sharp Knives & Loaded Guns,FIFA
spotify:track:1IRVDJt041czMtqOQNOV05,Discotech,Young Love,Too Young To Fight It,FIFA
spotify:track:1OYAmxoPwyy6OldVswD7KK,GASOLINE&MATCHES,Stijn,Gasoline & Matches,FIFA
spotify:track:5pEZh7HyU4y3Xj6udVsL4u,Get Down,Carlos Jean,Mr Miracle,FIFA
spotify:track:3pjttUWFEUKw4sk2SusTtO,Get On The Floor,Bitman & Roban,Musica Para Despues De Almuerzo,FIFA
spotify:track:3zYYdVwRWn7RVAtLMbN5cA,Gone up in Flames,Morning Runner,Gone Up In Flames,FIFA
spotify:track:0Wyz4eOrXW1P99huvSbHEx,Kick This,Us3,Schizophonic,FIFA
spotify:track:6Q65AeonFrtzPlJgDQv1Ff,"Kom Igen (feat. U$O, ADL & Salah Edin)","Outlandish, USO, ADL, Salah Edin",Closer Than Veins - Deluxe Edition,FIFA
spotify:track:6nuBmRH58kkgpZSL7bVcpE,La Cadena de Oro,Cabas,Puro Cabas,FIFA
spotify:track:5B5XgBBZuBXAgwJM3wYSAn,Los Angeles,Malibu Stacy,G,FIFA
spotify:track:1pWw890qsSaPR0kFS7eDIV,Muzika Dlya Fil'ma,Persephone's Bees,Notes From The Underworld,FIFA
spotify:track:7aGepJGWikQLSdaHRAsVyu,New York Minute,Mobile,Tomorrow Starts Today,FIFA
spotify:track:1nEgjXj55H13PrFAB88LNS,Nothing In My Way,Keane,Under The Iron Sea (UK edition),FIFA
spotify:track:6Kmbd09BoUwi40LhxoXbVz,Oh My,Mellowdrone,Box,FIFA
spotify:track:0pW9wzYEa1psyOugq1CWVM,Peligroso Pop,Plastilina Mosh,Tasty + B Sides,FIFA
spotify:track:0bowAkaslztpbvldB7uA7e,Sewn,The Feeling,Twelve Stops and Home,FIFA
spotify:track:2zrIyIdqafYozfsgiMY0Ae,Supermassive Black Hole,Muse,Supermassive Black Hole,FIFA
spotify:track:2WLCCFnCjxbfqvb1xFDGfK,Big day,Tahiti 80,Fosbury,FIFA
spotify:track:0o19w9gJJEtebf4tL07zdF,TMCR Grand Finale,The Pinker Tones,La Mujer De Mi Hermano: Music Inspired by the Film,FIFA
spotify:track:2nTla8UUqmBNKfcOvKc4bN,All My Heroes Are Weirdos,!!!,Myth Takes,FIFA
spotify:track:5jFPNBz6SahN90wIKwMr68,Paces,Aterciopelados,Oye,FIFA
spotify:track:44rzyyrGvANrNMScooIaFY,What Planet You On - Final Radio Edit,"Bodyrox, Luciana",Maxima Fm Compilation Vol.8,FIFA
spotify:track:7hSBjXf4zPKSginfFRRlMU,Solta O Frango,Bonde Do Role,Bonde Do Role With Lasers,FIFA
spotify:track:4tx7BPM5dD9qoYc8lLZp7d,From Extremely Far Away,Camp,Talking Cure,FIFA
spotify:track:6YeRUOJOWsOI2qKJD5MwSc,Human,Carpark North,All Things To All People,FIFA
spotify:track:1MsWWAtNNdy5BfCAtVlqn2,Toura Toura - The Nav Deep Remix,"Cheb i Sabbah, DJ Sandeep Kumar",La Ghriba: La Kahena Remixed,FIFA
spotify:track:4qFaGLVNlIxV6jMqQz47eI,We Might Fall Apart,Disco Ensemble,First Aid Kit,FIFA
spotify:track:5Ke72v52dEVnlk5BKHR03S,Do Ya - 2007 Digital Remaster;2007 - Remaster;,Dover,2,FIFA
spotify:track:1s9x0o656M0KX0zOeSVEr3,Into The Light,Heroes & Zeros,Strange Constellations,FIFA
spotify:track:5RXQnQR1UqCUU5XgBQGjCE,Unglued,Jupiter One,Jupiter One,FIFA
spotify:track:713sr5z0MmNsMrfvb5EbCo,Out of Control (State of Emotion),Kenna,Make Sure They See My Face,FIFA
spotify:track:3hFB2zJSbr1e2wu6NIGxFr,born to Run,K-OS,Collected,FIFA
spotify:track:3lzTn0ikRr6iE7HJPn5oyQ,Love Abuse,Lukas Kasha,Animated People's Republic,FIFA
spotify:track:4cSiNuAyJsQZYFKMZ388j8,Sorry,"Madness, Sway, Baby Blue",Sorry,FIFA
spotify:track:5vRgboXOynmhDKMg8krSws,The Unshockable,Maximo Park,Our Earthly Pleasures,FIFA
spotify:track:6zTABzmPL5AMGsPcOZkPIB,Fever Fever,Melody Club,Scream,FIFA
spotify:track:7vricx1ZrDmwrIvb39vxi2,El Micrófono - Nickodemus Remix,Mexican Institute Of Sound,El Micrófono / Para No Vivir Desesperado,FIFA
spotify:track:58xBnzRni79D1FPnksKLmB,Silikon,"Modeselektor, Sacha Perera",Hello Mom!,FIFA
spotify:track:4tSnbAWmqcB0S5RWymBi74,Don't Give Up,Noisettes,What's The Time Mr. Wolf,FIFA
spotify:track:7mkJoOFo9iAYpN5KeUnYVR,Don't let go,Pacha Massive,Hôtel Costes 11,FIFA
spotify:track:2f14Vwn28w1soYnolluueL,Young Folks,Peter Bjorn and John,Electronic Beats Collectables Volume 1 Digital,FIFA
spotify:track:5owaQQVSwktcC6Ux2SPVuf,Static,Planet Funk,Planet Funk,FIFA
spotify:track:5nmsyHwH9z6TUFnQMIh82l,Bum Like You,Robyn,Robyn,FIFA
spotify:track:5WxdbvTs8DAAIV62VNBN1B,You'll Find a Way,Santigold,Santigold,FIFA
spotify:track:1aJC50YEBQ4RiRhefibS7r,I Believe,Simian Mobile Disco,Electronic Beats Collectables Volume 1 Digital,FIFA
spotify:track:69Lp3ouOkrZveDxiEVAjti,Butterfly,Superbus,Butterfly,FIFA
spotify:track:1nzDfOVC5GZYZpTnMx0dYq,Drama Queen,Switches,Drama Queen,FIFA
spotify:track:2k9CH9nOEbNqVZI9edUJje,Monster,The Automatic,Xbox Soundtracks Presents...Start,FIFA
spotify:track:2Ca75jN2Hh7Ydd88l0WmNA,Ali In The Jungle,The Hours,Ali In The Jungle - EP,FIFA
spotify:track:3TvDfvOiB1LH4XEnpYD28g,More,The Tellers,More EP,FIFA
spotify:track:1LR7voA0dKPPARYdTWRKDd,Afrique,Tumi and the Volume,Tumi & The Volume,FIFA
spotify:track:178OOw9dFD6osAVvGDftrw,Endlich Ein Grund Zur Panik,Wir Sind Helden,Endlich Ein Grund Zur Panik,FIFA
spotify:track:6yeEUaJYSeLKq6HFqchSvh,Were You Thinking Of Me?,Yonderboi,Mole Listening Pearls - The Collection Vol. 2 (2001 - 2005),FIFA
spotify:track:407vJkfEQMGDu1MVCWNnMX,I'm Not Over,Carolina Liar,Coming To Terms,FIFA
spotify:track:1FZRgp7rt6tpTXSlfWjQR8,Air War,Crystal Castles,Crystal Castles,FIFA
spotify:track:22DnBQIIXFPJNRGuNjWlSg,Becoming Insane,Infected Mushroom,Vicious Delicious,FIFA
spotify:track:4A1PMMwtPWXlaWv8oa1Sla,Love The World,Karoshi Bros.,Love The World,FIFA
spotify:track:52EdchAkRfsbo5H2bSFlVa,Take a Chance,The Magic Numbers,Those The Brokes,FIFA
spotify:track:4mfeDglTuqcg09LfwN4C3F,The Boola Shines In The Pink Neon Room,Mendetz,Mendetz,FIFA
spotify:track:0S2AXU1xy7cAiMH3SLJVNl,Get What You Want,Operator Please,Yes Yes Vindictive,FIFA
spotify:track:1334aKI68J7koMeQekFjCK,Come on Feet,Pete And The Pirates,A to Z: Bestival 2008 - compiled by Rob da Bank,FIFA
spotify:track:08e2mHJ5tnsoczp20uOQlX,I Will Wander,The Features,Contrast,FIFA
spotify:track:7bHS1rGLhbmTQqJ6WChjHU,Get It Boy,The Magnificents,Year Of Explorers,FIFA
spotify:track:11GgZce96gZfOlP1bAM83q,I'm Not Sorry (Karaoke Lead Vocal Demo)[In the Style of Pigeon Detectives],Backtrack Professional Karaoke Band,Karaoke - In the Style of Pigeon Detectives (Karaoke Version),FIFA
spotify:track:1CoccgZXb8p6dNQo8Eow1D,A cause des garçons,Yelle,Pop Up - De Luxe,FIFA
spotify:track:6F5hPnwW7de7IcAuU7wYZr,I'm Not Gonna Teach Your Boyfriend How To Dance With You,Black Kids,A to Z: Bestival 2008 - compiled by Rob da Bank,FIFA
spotify:track:6quMGOAghPHvUeA6KVgfr6,1ne,Caesar Palace,Dogs From V-Gas,FIFA
spotify:track:6YnETGiInXu9Ah5kXPzaZy,Bonafied Lovin - Riot in Belgium and Ooh-ee Remix,Chromeo,Bonafied Lovin EP,FIFA
spotify:track:7bLk4tjwot6OunULKjPcPA,Lights & Music,Cut Copy,In Ghost Colours,FIFA
spotify:track:4o070DtKjEz4yPXTWVO2iY,True Stories,Datarock,Red,FIFA
spotify:track:2eEqR54LH9M2hNyhtZYAmJ,Me Gustan,Dj Bitman,Latin Bitman,FIFA
spotify:track:1dKm4a7TOYFzzTQvU59C59,Mercy,Duffy,Rockferry (intl Deluxe Edition),FIFA
spotify:track:6N2SM36vLwcTvgOSssoA4r,Olympic Airways,Foals,Antidotes,FIFA
spotify:track:25dDmd8ptHqYUzEw30i9fb,Im A Villain,Jakobínarína,The First Crusade,FIFA
spotify:track:5t1hZmZC0pPXPdTNcZtCk6,Platform Moon,Jupiter One,Jupiter One,FIFA
spotify:track:1ZZMu5cxiU4eFUNVwMnCJq,Fast Fuse,Kasabian,West Ryder Pauper Lunatic Asylum,FIFA
spotify:track:3cjLloX7oX0xsoS03I6zI4,"I'm Good, I'm Gone",Lykke Li,Youth Novels,FIFA
spotify:track:4GmmUEm9e5jlZiZXalRpAk,Moving,Macaco,Moving,FIFA
spotify:track:1jJci4qxiYcOHhQR247rEU,Kids,MGMT,Oracular Spectacular,FIFA
spotify:track:4FxOAj1L7plvcF0Ll8Th9U,Drive Me,Najwajean,Till It Breaks,FIFA
spotify:track:2F8jBs3ZBbQOvdlySky0zU,Untouched,The Veronicas,Untouched,FIFA
spotify:track:2ri0HH9TB01icxcboMJfsz,Let U Know,Plastilina Mosh,All U Need Is Mosh,FIFA
spotify:track:6xxdIOzmUqfvja30pdGPY6,Open Your Window,Reverend And The Makers,The State Of Things,FIFA
spotify:track:4pkZNPC6yeMnQABwkTmsR6,Black & Gold - Radio Edit,Sam Sparro,Fame - OST,FIFA
spotify:track:1ddTPwLf0yndWsWUlX8KLg,Lo Mejor Del Mundo,Señor Flavio,Supersaund 2012,FIFA
spotify:track:6nrwV1i4sdQ1RvOGb3fCCC,Victory,Soprano,Victory,FIFA
spotify:track:6KTs7zQzja1DN87gEzrNSL,Butter,The Bloody Beetroots,Romborama,FIFA
spotify:track:6xlu9OhvAvDOZBbvDmIYWT,Tell Me A Lie,The Fratellis,Here We Stand (other BPs international),FIFA
spotify:track:2Pf2yuX8v8uvjI6pDcCrJG,That Kind Of Man,The Heavy,Temptation: Music From The Showtime Series Californication (International Version),FIFA
spotify:track:3f2XWuZlO3ZE2wcw81foyk,61,The Kissaway Trail,The Kissaway Trail,FIFA
spotify:track:6gGSSrKMiV2yec1DrqGhhy,Always Where I Need To Be,The Kooks,Konk,FIFA
spotify:track:7DQS4VkizbhSGPO2nlHj2y,The End Where I Begin,The Script,The Script,FIFA
spotify:track:2QW5F8Qo2Uh5i1UaD2lXEQ,Muzzle #1,The Whip,X Marks Destination,FIFA
spotify:track:0LUKJI1jBLWho3lfewE9lW,Keep Your Head,The Ting Tings,We Started Nothing,FIFA
spotify:track:5s2Y2a8i87zWEmDQzCSXXv,Feels Like Music,Tom Jones,24 Hours,FIFA
spotify:track:2KHyQAFgmSv0jxDci9szlY,Modern Drummer,Ungdomskulen,Cry-Baby,FIFA
spotify:track:0NT44ngiQfZ7Z1eKaqhZt3,Miss You,ADIAM,Adiam Dymott,FIFA
spotify:track:5Eh8tYUkRh5Ec9vTbHfcAC,Head Straight,Alex Metric,The Head Straight EP,FIFA
spotify:track:7IksYcfuXfpceXBPFMKK7u,Meine Stadt,Auletta,Meine Stadt,FIFA
spotify:track:757uEaoGgkhhX6JnoYiMQu,Ramallah-Tel Aviv,Balkan Beat Box,Nu Made (Remixes),FIFA
spotify:track:1gIn7vN873iAjempLZxCYl,Lakeside,BLK JKS,Mystery,FIFA
spotify:track:1AyHAhNhjB14SGMoyma8nG,Fuego,Bomba Estéreo,Estalla,FIFA
spotify:track:6NRt7wh8tyW0IbMbhn8zJO,Kalemba (Wegue Wegue),"Buraka Som Sistema, Pongolove",Todo Éxitos 2009,FIFA
spotify:track:3dnXEViBHCsxwAqR02sFim,Fot I Hose,Casiokids,Verdens Storste Land/ Fot I Hose,FIFA
spotify:track:7MsqxPkhjbB6hMhJlOkXQM,Black Wax,Dananananaykroyd,Black Wax,FIFA
spotify:track:0eDnscRVrFsTD55b70aobV,Give It Up,Datarock,Red,FIFA
spotify:track:7pPc8Oqo9lgg3PXi1Rx5jt,Donna Famosa - (Con Skit),Fabri Fibra,Chi Vuole Essere Fabri Fibra ?,FIFA
spotify:track:0aClozN9hcLVHPa3fdiU4e,La Luz del Ritmo,Los Fabulosos Cadillacs,La Luz Del Ritmo,FIFA
spotify:track:2EZPIHEvr6UoYo8nxdB5zg,Hacen Falta Dos,Macaco,Puerto Presente,FIFA
spotify:track:5YmqpCMu4cMuxgtODgf8tA,Hold The Line,"Major Lazer, Mr. Lex, Santigold",Guns Don't Kill People...Lazers Do,FIFA
spotify:track:3gpNLEl4nKQ6odiBTHKzPr,Soul Do Samba,Márcio Local,Márcio Local Says Don Day Don Dree Don Don,FIFA
spotify:track:7y6yueMgmCFLAdUg7Eq1N2,Gold Guns Girls,Metric,Fantasies,FIFA
spotify:track:2hekeOjg0olj6Gd0UCARBB,Alocatel,Mexican Institute Of Sound,Soy Sauce,FIFA
spotify:track:0PbBQloKav0F3mh9IUTvnP,Kangpe,Nneka,Kangpe,FIFA
spotify:track:1WETgXqmJ2NaziQhtav0pK,Moth's Wings,Passion Pit,Manners,FIFA
spotify:track:3bxs5JeE5YjNUDMGhFw0It,Nothing To Worry About,Peter Bjorn and John,Nothing To Worry About,FIFA
spotify:track:6su8buYl3ZxiQXZLGrwM2U,Not Thinking Straight,Pint Shot Riot,Not Thinking Straight,FIFA
spotify:track:1jLCH2qthAG0wcSRTfU7rf,War/No More Trouble,Playing For Change,Songs Around the World,FIFA
spotify:track:7EhFDJSkmxjKMiBtVSOwAi,Download the Revolution,Rocky Dawuni,HOPE Campaign Tribute Album 2010,FIFA
spotify:track:51KDGt4HRDbTcLcKNhkKuU,It's What I Want,Röyksopp,Junior,FIFA
spotify:track:4XSyFchTLJSuHxUqc2DHzz,It's Over! It's Over! It's Over,The Answering Machine,"Another City, Another Sorry",FIFA
spotify:track:6PNKgYwiqzLqZTL4NgONML,Should I stay Or Should I Blow Feat. Ashley Beedle,The BPA,I Think We're Gonna Need A Bigger Boat,FIFA
spotify:track:0GXj3TVYPuG2qmXHFcbctq,Be Somebody - US,The Enemy,Music For The People,FIFA
spotify:track:1qmypp8kupeQAXzM75BVdE,Science of Fear,The Temper Trap,Conditions,FIFA
spotify:track:1sq5otKE9EWT2fkJrrJx6Q,1517,The Whitest Boy Alive,Rules,FIFA
spotify:track:46l67EeIIofGVslFG7jHgD,MVP Kompa,"Wyclef Jean, Melky",Masquerade,FIFA
spotify:track:2bHnoQZS6Saej1847RJF7k,Vibrations,Zap Mama,ReCreation,FIFA
spotify:track:6A6k3P46AFNUOgkK8YkuBc,Wavin' Flag - Coca-Cola® Spanish Celebration Mix,"K'NAAN, David Bisbal",Wavin' Flag (Coca-Cola® Spanish Celebration Mix),FIFA
spotify:track:1XlIGi5ZYIErc9zfJnqsKg,O.N.E,Yeasayer,ODD BLOOD,FIFA
spotify:track:7xCIpKMNNbrWeIILyHTH1u,Odessa,Caribou,Swim,FIFA
spotify:track:1CvDBfATEHdVPacxeTrtxh,Trick Pony,Charlotte Gainsbourg,IRM,FIFA
spotify:track:1Ig5Ayb2nMZvslIctBq2C3,El Bombo (Toquemen el Bombo),ChocQuibTown,Oro,FIFA
spotify:track:3h3jwtdKKox85mfDu4Khjs,Don't Turn The Lights On,Chromeo,Business Casual,FIFA
spotify:track:1bFknVgtFX3vf948KDBwmC,Wonder,Dan Black,Un,FIFA
