﻿Spotify URI,Track Name,Artist Name,Album Name,Game
spotify:track:0RfkhmnL65lTYSMEgf2ubh,Disconnected (Out Of Touch),Trapt,Someone In Control,NFL
spotify:track:5XApNGBfWN8qXlhmPhErQb,Battle Of One,Thirty Seconds To Mars,A Beautiful Lie,NFL
spotify:track:55BYnMUhDNtRo4HLvay6hk,Summer Shudder,AFI,DECEMBERUNDERGROUND,NFL
spotify:track:1zohXXWtUB9WrLjKTg48C9,Came Down,Al Fatz,Came Down,NFL
spotify:track:1jvqZQtbBGK5GJCGT615ao,This Is the End (For You My Friend),Anti-Flag,For Blood And Empire,NFL
spotify:track:29EkMZmUNz1WsuzaMtVo1i,I Bet You Look Good On The Dancefloor,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",NFL
spotify:track:5ZlJDHedchB4Q7Rd6Vp9W1,Ex's and Oh's,Atreyu,Best Of Atreyu,NFL
spotify:track:22wnEMAQaNrbot1dwmeucH,Revelations,Audioslave,Revelations,NFL
spotify:track:6uQRPt2yZG7HxPFcROFeVc,I Am a Soldier,Bishop Lamont,EA Soundtrax Vol. 2,NFL
spotify:track:6HV8ufhj3yJZjM29wxBxrB,Say Anything (Else),Cartel,Chroma,NFL
spotify:track:18cf7hEn3BeBBgi0174WZq,Out Here All Night,Damone,Out Here All Night,NFL
spotify:track:0x8AsvZvWejr7RwvMerxoy,Reason To Believe,Dashboard Confessional,Dusk And Summer,NFL
spotify:track:5e5uWo2B7o4bbaQ7xXnBP3,Bounce,Dynamite MC,World of Dynamite (Deluxe),NFL
spotify:track:4EmrBoeGx4rPWr4fBJQcFC,Won't Stop Running,Haley Hunt,Won't Stop Running,NFL
spotify:track:4rXHvJB3K1VM0g0Eapb53A,Until We Get Caught,Hit The Lights,This Is A Stick Up...Don't Make It A Murder,NFL
spotify:track:3RyuWd7xlLJdLddH6Kt2o6,Is It Any Wonder?,Keane,Under The Iron Sea,NFL
spotify:track:1GmNUXAGyGUJOno6pUlPjQ,A Still Life Franchise,Less Than Jake,In With The Out Crowd,NFL
spotify:track:1gsnHGopfdevZt7gbmygOq,The Instrumental (feat. Jonah Matranga),"Lupe Fiasco, Jonah Matranga",Lupe Fiasco's Food & Liquor,NFL
spotify:track:47ghoSv4S94t0Qhrg3HvjR,Monsters,Matchbook Romance,Voices,NFL
spotify:track:1F0LFfWgEJtbSQR0RB8dgE,Drones,Rise Against,Endgame / Appeal To Reason / Siren Song Of The Counter Culture / The Sufferer & The Witness,NFL
spotify:track:4jdQ9Z3M7trjeFPtJ9ULPR,On Again Off Again,Riverboat Gamblers,To The Confusion Of Our Enemies,NFL
spotify:track:2fj8g5Cz5j5MuD7M9oLkpM,Head For The Hills,Saves The Day,Sound The Alarm,NFL
spotify:track:0PT8floI4PYe8VPXlkrb2S,Backyard Betty,Spank Rock,YoYoYoYoYo,NFL
spotify:track:56keKJyWpp84gKhI5llSCK,Taking Back Control,Sparta,Threes,NFL
spotify:track:2G7P9vvJwshiE9yqhj2YBb,Spin,Taking Back Sunday,Louder Now (U.S. Version),NFL
spotify:track:65S070Pw6UGqlhTYq6xDUH,Teahouse Of The Spirits,The Panic Channel,(ONe),NFL
spotify:track:70AlAZ9trht3qdktuGv0WU,Easy Way Out,The Pink Spiders,Teenage Graffitti,NFL
spotify:track:43hUwi2aE9ROLalDZQ7VA4,Whoo! Alright - Yeah...Uh Huh.,The Rapture,Pieces Of The People We Love,NFL
spotify:track:6qIHINhUhh8p5hJZYE4jv9,In Fate's Hands,The Red Jumpsuit Apparatus,Don't You Fake It,NFL
spotify:track:5Jfs5GibNemT1xjaPmGyE0,Don't Hold Back,The Sleeping,Questions And Answers,NFL
spotify:track:4WjkE5De5IepeByLPJMs8p,Real Talk,Trae Tha Truth,Restless,NFL
spotify:track:5LsqaP8kAF1vcJE7hEyvHl,You're Ever So Inviting,Underoath,Anthology 1999-2013,NFL
spotify:track:3CkjLJYnnyOtGk4Jx4iYS4,Woman,Wolfmother,Wolfmother,NFL
spotify:track:1wXuogT7bvqnhuWzDBNOdV,Runnin' Wild,Airbourne,Runnin' Wild,NFL
spotify:track:4PImbgKXvsKCZatXSPevI1,Becoming the Bull,Atreyu,Lead Sails Paper Anchor,NFL
spotify:track:0TpPtPgWCxhJpD3vEhKSrg,Believe,The Bravery,The Sun And The Moon,NFL
spotify:track:4dzrmiBj1COSVk1EdJsCkg,Whatcha' Got,Brother Ali,The Undisputed Truth,NFL
spotify:track:5Rp6Bl4CWCu94eC0l6UHHN,Impacto,Daddy Yankee,El Cartel: The Big Boss (Explicit Version),NFL
spotify:track:4W94xSaSZDetU1z6FcMk6z,The New Song,Datarock,Datarock Datarock,NFL
spotify:track:3rvzVmPRHxbKXj9JFM2hIv,S.O.S.,Earl Greyhound,Soft Targets,NFL
spotify:track:2fznFfMB0fbEt0ImH6iQnR,OK Time For Plan B,Enter Shikari,Take to the Skies,NFL
spotify:track:1KofMZ7rcSxx50lddqzAKp,Daylight Savings,From Autumn To Ashes,Holding A Wolf By The Ears,NFL
spotify:track:0cnySM1Mlep9l9Y2fKo04w,You Wouldn't Know,HELLYEAH,HELLYEAH,NFL
spotify:track:2nXCTpJrJci7i4O2epfIUz,Tick Tick Boom,The Hives,The Black and White album,NFL
spotify:track:7aa4e5BxENMibLzuY9lAVU,Countdown,Jupiter One,Jupiter One,NFL
spotify:track:7f6zylP8E9VOm5VBgJ2mVh,Cop It,MiMS,Music Is My Savior,NFL
spotify:track:5lQKTRvDQPM4F7ZChCkKT8,Monsta,O-Solo,Monsta - Single,NFL
spotify:track:16NleDTzf0GTNeHuKGkRAr,Soulcrusher,Operator,Soulcrusher,NFL
spotify:track:01YzcItTGN5Y5Rr2KgorIT,I Don't Wanna Stop,Ozzy Osbourne,Black Rain,NFL
spotify:track:1RgagkGADSP15Eq6AzFNvp,Desire - Dirty,"Pharoahe Monch, Showtyme, Mela Machinko",Desire,NFL
spotify:track:7DunV30kN0pwPwfOURh1Bt,Fuego (DJ Buddha Remix),"Don Omar, Pitbull",The Boatlift,NFL
spotify:track:7BVWeO3bsnXFo3ccqZ0CB1,3's & 7's,Queens of the Stone Age,Guitar Hero III Legends of Rock Companion Pack,NFL
spotify:track:3xLpTKhXOK3duXL0K1nRie,Dem No Worry We (Featuring Afu Ra),RED1,Beg For Nothing,NFL
spotify:track:55qrXXb54SXvDDhoalLYkr,Redemption,Shadows Fall,Threads Of Life,NFL
spotify:track:1B2OS89TEkgtj5EOTK3qvr,Underclass Hero,Sum 41,Underclass Hero (Exclusive Edition),NFL
spotify:track:17B98XzZf2NWFTsAApoYsB,It's Me Snitches,Swizz Beatz,One Man Band Man,NFL
spotify:track:5QOmovrbAzKDpgJQKDzTeY,Brooklyn Anthem feat. 77Klash & JahDan,"Team Shadetek, Tears, Kamyo",Pale Fire,NFL
spotify:track:50NiHCSabdD1QGJwaGcA52,Release,"Timbaland, Justin Timberlake",Shock Value (International Version),NFL
spotify:track:1zlFi9fLB8w3EcpmjSEEe8,The Ripper,The Used,Lies For The Liars,NFL
spotify:track:1y8fcrAzJpSsjTgMQPT0ia,Fighting,Yellowcard,Paper Walls,NFL
spotify:track:5zS94RaKccvSJROWtsL4n2,Hit 'Em,Zion I & the Grouch,Heroes In The City Of Dope,NFL
spotify:track:48IW9erDc07KlQRc6cKzAR,Stand Up For Rock 'N' Roll,Airbourne,Runnin' Wild,NFL
spotify:track:26jVcJqG66nj36jRqPBp2U,We Made It (feat. Linkin Park),"Busta Rhymes, Linkin Park",We Made It (feat. Linkin Park),NFL
spotify:track:2nmL3Tb25nvkUnwjwmL0Sq,Inside the Fire,Disturbed,The Studio Album Collection,NFL
spotify:track:5ji2Yyz5mrI7se29083mpf,Lucid Dreams,Franz Ferdinand,Tonight,NFL
spotify:track:5u41AHsmqZef1djEBulPmA,Worlds Away,From First To Last,From First To Last,NFL
spotify:track:4YzaF95fNzoruY63aMQAyW,Home,Gym Class Heroes,The Quilt,NFL
spotify:track:6RsGdeWyBEAe842Z63Qbh0,Burnt,"Kardinal Offishall, Lindo P",Not 4 Sale,NFL
spotify:track:2WPg9ENtZz0OiMSgniBXJG,Don't Stop,Innerpartysystem,Innerpartysystem,NFL
spotify:track:5k6caRFLzergZOtH1BqewE,"Desperate Times, Desperate Measures",Underoath,Anthology 1999-2013,NFL
spotify:track:2qABxQZhfAthNxszLiSsUw,Hell Yeah,Rev Theory,Light It Up,NFL
spotify:track:5AjrdgVniAvpTjbS6xaZuF,Never Wanted to Dance,Mindless Self Indulgence,If,NFL
spotify:track:65f3M1uGKcxbCpXP3KLUOm,Devour,Shinedown,The Sound of Madness,NFL
spotify:track:1n9gluVqJNmpSIoHB4WADL,The Mirrors Truth,In Flames,Hot Topic Exclusive EP,NFL
spotify:track:2DZuPHLtZLm2Sc61dyJWbA,Millionaire,Izza Kizza,Millionaire,NFL
spotify:track:4dhqJs8efyqbziBPtfxbNF,Hammerhead,The Offspring,"Rise And Fall, Rage And Grace",NFL
spotify:track:3hcnDu51c3QTmTfHt7h2yW,The Blackout,"Kidz In The Hall, DJ GI Joe",The in Crowd,NFL
spotify:track:5N4uieuOpp6UyKQyLpHOKI,Workin',"Young Dre The Truth, Good Charlotte",Bigga Than Life - EP,NFL
spotify:track:3sa04MWD0FcOorbzuGfaTZ,Into the Mouth of Hell We March,Trivium,Shogun (Special Edition),NFL
spotify:track:5wBLDkxVvclanSitx5jq8e,Undead,Hollywood Undead,Swan Songs,NFL
spotify:track:5L9BM1An2GQzjXyve3XJu0,Like Knives,The Fashion,The Fashion,NFL
spotify:track:7eiAuuqpv9WAuGv0Zf9IzN,Wax On Wax Off,Kovas,Reagan Babies,NFL
spotify:track:6l7yKJVwS5pzPGIdyG7kGZ,Real World - Demo,The All-American Rejects,When The World Comes Down,NFL
spotify:track:3GXnyH20OHemXnZ6iZM8OC,Wolves At The Door,Senses Fail,Life Is Not A Waiting Room,NFL
spotify:local:Wale:Hate+Is+the+New+Love:Breakdown:220,Breakdown,Wale,Hate Is the New Love,NFL
spotify:track:6Ke9fTzHC5SfIWKOVY2gK7,ABC's,"K'NAAN, Chubb Rock",Troubadour,NFL
spotify:track:4uNiL0V5IkSa2kd1KoHxH5,Hero,"Nas, Keri Hilson",Nas (UK & Japan Explicit),NFL
spotify:track:09EwNbGvUyu7BDEYG0cJro,Can't C Me,2Pac,All Eyez On Me,NFL
spotify:track:7pE5n3BlCI4UcKogeRyI2w,Heads Are Gonna Roll,Airbourne,Runnin' Wild (Special Edition),NFL
spotify:track:45L6eelwsn7WRef7HwpgWG,Them Bones,Alice In Chains,The Essential Alice In Chains,NFL
spotify:track:6FUMllNnpUanLa2QkN6fA4,Created a Monster,B.o.B,Nothin' On You,NFL
spotify:track:5PEpAn2SwaYVLvOW29LmfD,Revolution,Bang Camaro,Bang Camaro II,NFL
spotify:track:3EyyhPW2GcLYuwV1MajRd6,Sabotage,Beastie Boys,Ill Communication,NFL
spotify:track:3ebrniHtOzNWigJhEkWguR,Paranoid,Black Sabbath,Reunion,NFL
spotify:track:3YO0D9Hdy625LYGYE9D1wx,Get 'Em Up,Cypress Hill,Rise Up,NFL
spotify:track:0jZyn1UDBXOz4EH9pduXzZ,Unsung,Helmet,Meantime,NFL
spotify:track:5lSbdSQAWAMjAcJDJPFGQr,Aces High - 1998 Remastered Version,Iron Maiden,Powerslave (1998 Remastered Edition),NFL
spotify:track:6L9ioUFPJV1jCYIL69XWAU,Painkiller,Judas Priest,Playlist: The Very Best of Judas Priest,NFL
spotify:track:1k29zSC5RfaFYK5bTpK5O3,I Am the Bullgod,Kid Rock,Devil Without A Cause,NFL
spotify:track:7yNsSWHrCAFGew4mLpjDrZ,Reckoning,Killswitch Engage,Killswitch Engage [Special Edition],NFL
spotify:track:2vJtRGQtxkmZ0lM1HxPkaK,Blind,Korn,Korn,NFL
spotify:track:6HZ8zBamcVKjO46vsLj9vh,Divinations,Mastodon,Crack The Skye,NFL
spotify:track:0j0yQeR52NUatMLFdkNgKr,Hate Me Now (feat. Puff Daddy),"Nas, Diddy",I Am...,NFL
spotify:track:2Y2UZ2SFU6HSNv5Qx0HdD3,Breed,Nirvana,Nevermind,NFL
spotify:track:7fcfNW0XxTWlwVlftzfDOR,Walk,Pantera,Vulgar Display Of Power,NFL
spotify:track:5tDdBcaQzLCrXfeRUlLCnD,Shut 'Em Down,Public Enemy,Apocalypse 91… The Enemy Strikes Black,NFL
spotify:track:7bgqCH82s1kKWB1KKxBj9m,Guerrilla Radio,Rage Against The Machine,The Battle Of Los Angeles,NFL
spotify:track:5nXraQirkfpX1XNrmbKCMN,gaia bleeds (make way for man),Set Your Goals,This Will Be The Death Of Us,NFL
spotify:track:31RTFPrB7wmYBhlkM2ILXG,Sugar,System Of A Down,System Of A Down (Bonus Pack),NFL
spotify:track:4cpOvpvvx1upv0HDyZKVQJ,Duality,Slipknot,Vol. 3 The Subliminal Verses,NFL
spotify:track:5xvNzAQS0eX5KXEYBNGTl1,Before I Die,The Vanity Plan,The Ignorant Are Sold,NFL
spotify:track:03VFAG0fecuIaYXT4egU11,Cheah Beah,Young Dre The Truth,Bigga Than Life - EP,NFL
spotify:track:57bgtoPSgt236HzfBOd8kj,Thunderstruck,AC/DC,The Razors Edge,NFL
spotify:track:1djfwy9FvafpK4KhznjjeI,We Ready,Archie Eversole,Ride Wit Me Dirty South Style,NFL
spotify:track:3GfOAdcoc3X5GPiiXmpBjK,Song 2,Blur,Blur: The Best Of,NFL
spotify:track:1iTzI4NSQNLIETWDJ1WNWi,Machinehead,Bush,Bush Digital Collection,NFL
spotify:track:3GgbzosiGyWTvpisGT1FkH,Rock and Roll (Part 2),Gary Glitter,"Gary Glitter - The Ultimate, 25 Years Of Hits",NFL
spotify:track:0oWHLtxWeMJhmwxtrxhNK0,Welcome To The Jungle,Guns N' Roses,Appetite For Destruction (Explicit Version),NFL
spotify:track:6MKdNVgDKG5pNT3zBZ7mZL,Tick Tick Boom - Single Version,The Hives,Tick Tick Boom,NFL
spotify:track:0bz67HYKfiuUj1xhsK5ofT,Crowd Chant,Joe Satriani,Super Colossal,NFL
spotify:track:6i24LdtpurY1OPvRVjNsSH,Let It Rock,"Kevin Rudolf, Lil Wayne",Let It Rock,NFL
spotify:track:6JhFtqwr7o38egORlhU9qR,Rock And Roll All Nite,KISS,Sonic Boom,NFL
spotify:track:5tQ4YPdDsPx0NlzrXkPro3,Let Me Hear You Scream,Ozzy Osbourne,Scream,NFL
spotify:track:2nKOUDSm0EhVvQWoDyjl27,Crazy Train,Ozzy Osbourne,The Essential Ozzy Osbourne,NFL
spotify:track:35SH9W19yyN4Hxq8qHptPH,We Will Rock You,Queen,Queen Rocks,NFL
spotify:track:54EvqHberbpzMu7nu8hs9S,Bang the Drum All Day,Todd Rundgren,The Ever Popular Tortured Artist Effect,NFL
spotify:track:0vHuJINsxpgg6SWpuIbKfY,Halftime (Stand Up & Get Crunk!) Feat. Homebwoi,"Ying Yang Twins, Homebwoi",Legendary Status: Ying Yang Twins Greatest Hits,NFL
spotify:track:7g8cjrj0sXScNE727685JE,"Kernkraft 400 - DJ Gius Mix, Radio Edit",Zombie Nation,Kernkraft 400 Single Mixes,NFL
spotify:track:3P5OnuqwVhZMEMoaZa9GuE,Mind Heist,Zack Hemsey,Mind Heist,NFL
spotify:track:2n3pIanxvZrbCTfbNIhrd8,6 Foot 7 Foot - Edited Version,"Lil Wayne, Cory Gunz",6 Foot 7 Foot,NFL
spotify:track:2eQcxRriZL0cmuyzMlKxul,All Around The World,Theophilus London,Timez Are Weird These Days,NFL
spotify:track:4fRDgjvtrlVofOH2oflC9n,Architects,Rise Against,Endgame,NFL
spotify:track:1Zb8rQeMCqTJVDGAEZzNBt,Award Tour,A Tribe Called Quest,Collections,NFL
spotify:track:1QlrSCN6TkLKTvZcpUVWSS,Back For More,Five Finger Death Punch,American Capitalist,NFL
spotify:track:7aS6cyqiIzITFwyiOhcepj,Boom,"Snoop Dogg, T-Pain",Doggumentary,NFL
spotify:track:2soQIPoX1OkseT47iOftr2,Bridge Burning,Foo Fighters,Wasting Light (Deluxe Version),NFL
spotify:track:4SpthEw43tOMOgENF9vIBJ,Champion,"Chip, Chris Brown",Champion,NFL
spotify:local:David+Rush::Don%27t+Play+Me+Close:235,Don't Play Me Close,David Rush,,NFL
spotify:track:37McwOy3miqBP2NyXMmT5w,Colours - EP Version,Grouplove,Grouplove,NFL
spotify:track:6p4VqdtwtJoXjupc3QFV2y,That Ain't Classy,Classified,Handshakes And Middle Fingers,NFL
spotify:track:2n3mC1bqMMvcvYGyND6PsM,Get Up! - feat. Skrillex,Korn,Get Up! (feat. Skrillex),NFL
spotify:track:0qW8wg0hqb003rxgV4X8mj,Get The Fuck Up!,Yelawolf,Trunk Muzik 0-60,NFL
spotify:track:7u0rneYVggOrHUUYbKQpUO,Ghetto Dreams - feat. Nas,"Common, Nas","The Dreamer, The Believer",NFL
spotify:track:1ZN6wkoKphw588SvZfczVM,Money For The Weekend (Pocket Full Of Shame),Alberta Cross,Songs Of Patience,NFL
spotify:track:4ZRtTVuqWKDAVyHxySfgrX,They Reminisce Over You,"Pete Rock, C.L. Smooth",Renaissance presents Pacha Ibiza - Volume 1,NFL
spotify:track:41NN1PjfZJFHAptSqyuJ3H,Last Man Standing - Edited Version,"Asher Roth, Akon",Last Man Standing (Edited Version),NFL
spotify:track:2Bz2Q1JNwwPj40T9AvzE7f,Make Some Noise,Beastie Boys,Hot Sauce Committee (Pt. 2),NFL
spotify:track:0O986IRZ2rL3qGH5QiD4ZO,Mind Your Manners (feat. Icona Pop),"Chiddy Bang, Icona Pop",Breakfast,NFL
spotify:track:4pGv2AFdSV6N2VwAaVciW0,Pass Out,Tinie Tempah,Pass Out,NFL
spotify:track:1KLjb5Rr4OQNNaVap67quJ,I Want It All / We Will Rock You Mash-Up,"Queen, Armageddon aka Geddy",Sucker Punch: Original Motion Picture Soundtrack,NFL
spotify:track:40ojXhrvU1SZDObbbjX9GH,"A Golden Boy Again"" - Da Riffs Madden Mix""",Sam Spence,"A Golden Boy Again"" (Da Riffs Madden Mix)""",NFL
spotify:track:0tHiICPYPNOStHBdsSNb6j,"A Chilling Championship"" - Da Riffs Madden Mix""",Sam Spence,"A Chilling Championship"" (Da Riffs Madden Mix)""",NFL
spotify:track:6hVmfVyYygZFTcSSzZIp2b,"Magnificent Eleven"" - Da Riffs Madden Mix""",Sam Spence,"Magnificent Eleven"" (Da Riffs Madden Mix)""",NFL
spotify:track:29SQVdiLYevj4X9aMmp6KA,"Ramblin' Man From Gramblin"" - Da Riffs Madden Mix""",Sam Spence,"Ramblin' Man From Gramblin"" (Da Riffs Madden Mix)""",NFL
spotify:track:5oILdjTVJ48jwrSQMRWZv0,"Round-Up - Da Riffs Madden Mix""",Sam Spence,"Round-Up"" (Da Riffs Madden Mix)""",NFL
spotify:track:0N8drX9eoXmwvmuNKjL4iM,"The Equalizer"" - Da Riffs Madden Mix""",Sam Spence,"The Equalizer"" (Da Riffs Madden Mix)""",NFL
spotify:track:3QkAsZSI6vnR0z7bhgW3Vq,"A New Game"" - Da Riffs Madden Mix""",Sam Spence,"A New Game"" (Da Riffs Madden Mix)""",NFL
